old_label,label,date
hCoV-19/Scotland/GCVR-172BF8/2020|EPI_ISL_459141|2020-04-06|1,hCoV-19/Scotland/GCVR-172BF8/2020|EPI_ISL_459141|2020-04-06|1,2020-04-06
hCoV-19/Guangdong/GDSZ202015-P0019/2020|EPI_ISL_413867|2020-02-05|1,hCoV-19/Guangdong/GDSZ202015-P0019/2020|EPI_ISL_413867|2020-02-05|1,2020-02-05
hCoV-19/Singapore/43/2020|EPI_ISL_428822|2020-02-16|1,hCoV-19/Singapore/43/2020|EPI_ISL_428822|2020-02-16|1,2020-02-16
hCoV-19/Shaoxing/01/2020|EPI_ISL_463889|2020-01-27|1,hCoV-19/Shaoxing/01/2020|EPI_ISL_463889|2020-01-27|1,2020-01-27
hCoV-19/Singapore/13/2020|EPI_ISL_414379|2020-02-18|1,hCoV-19/Singapore/13/2020|EPI_ISL_414379|2020-02-18|1,2020-02-18
hCoV-19/Spain/VC-IBV-98003084/2020|EPI_ISL_538020|2020-03-14|1,hCoV-19/Spain/VC-IBV-98003084/2020|EPI_ISL_538020|2020-03-14|1,2020-03-14
hCoV-19/Nanchang/JX177/2020|EPI_ISL_421241|2020-01-30|1,hCoV-19/Nanchang/JX177/2020|EPI_ISL_421241|2020-01-30|1,2020-01-30
hCoV-19/Guangdong/2020XN4273-P0036/2020|EPI_ISL_413860|2020-01-30|1,hCoV-19/Guangdong/2020XN4273-P0036/2020|EPI_ISL_413860|2020-01-30|1,2020-01-30
hCoV-19/Beijing/BJ1112/2020|EPI_ISL_430737|2020-02-25|1,hCoV-19/Beijing/BJ1112/2020|EPI_ISL_430737|2020-02-25|1,2020-02-25
hCoV-19/SouthKorea/KCDC05/2020|EPI_ISL_412869|2020-01-30|2,hCoV-19/SouthKorea/KCDC05/2020|EPI_ISL_412869|2020-01-30|2,2020-01-30
hCoV-19/SouthKorea/KCDC2003/2020|EPI_ISL_426163|2020-02-23|1,hCoV-19/SouthKorea/KCDC2003/2020|EPI_ISL_426163|2020-02-23|1,2020-02-23
hCoV-19/Singapore/18/2020|EPI_ISL_418999|2020-03-01|1,hCoV-19/Singapore/18/2020|EPI_ISL_418999|2020-03-01|1,2020-03-01
hCoV-19/Spain/AN-IBV-001984/2020|EPI_ISL_509621|2020-03-15|1,hCoV-19/Spain/AN-IBV-001984/2020|EPI_ISL_509621|2020-03-15|1,2020-03-15
hCoV-19/Wuhan/0126-C102/2020|EPI_ISL_493184|2020-01-26|6,hCoV-19/Wuhan/0126-C102/2020|EPI_ISL_493184|2020-01-26|6,2020-01-26
hCoV-19/Wuhan/HB-WHCM-116/2020|EPI_ISL_454996|2020-02-26|1,hCoV-19/Wuhan/HB-WHCM-116/2020|EPI_ISL_454996|2020-02-26|1,2020-02-26
hCoV-19/Belgium/GHB-03021/2020|EPI_ISL_407976|2020-02-03|3,hCoV-19/Belgium/GHB-03021/2020|EPI_ISL_407976|2020-02-03|3,2020-02-03
hCoV-19/Singapore/15/2020|EPI_ISL_418996|2020-01-27|1,hCoV-19/Singapore/15/2020|EPI_ISL_418996|2020-01-27|1,2020-01-27
hCoV-19/SouthKorea/KCDC2063/2020|EPI_ISL_497964|2020-02-06|3,hCoV-19/SouthKorea/KCDC2063/2020|EPI_ISL_497964|2020-02-06|3,2020-02-06
hCoV-19/Anhui/SZ005/2020|EPI_ISL_413485|2020-01-24|1,hCoV-19/Anhui/SZ005/2020|EPI_ISL_413485|2020-01-24|1,2020-01-24
hCoV-19/Sichuan/SC-PHCC1-027/2020|EPI_ISL_451348|2020-02-09|1,hCoV-19/Sichuan/SC-PHCC1-027/2020|EPI_ISL_451348|2020-02-09|1,2020-02-09
hCoV-19/Sichuan/SC-PHCC1-033/2020|EPI_ISL_451354|2020-02-09|1,hCoV-19/Sichuan/SC-PHCC1-033/2020|EPI_ISL_451354|2020-02-09|1,2020-02-09
hCoV-19/Chile/ML-CMM-25343/2020|EPI_ISL_459863|2020-03-12|1,hCoV-19/Chile/ML-CMM-25343/2020|EPI_ISL_459863|2020-03-12|1,2020-03-12
hCoV-19/Guangdong/20SF2546/2020|EPI_ISL_428458|2020-02-06|2,hCoV-19/Guangdong/20SF2546/2020|EPI_ISL_428458|2020-02-06|2,2020-02-06
hCoV-19/Shaoxing/04/2020|EPI_ISL_463896|2020-01-31|1,hCoV-19/Shaoxing/04/2020|EPI_ISL_463896|2020-01-31|1,2020-01-31
hCoV-19/UnitedArabEmirates/L3290224549/2020|EPI_ISL_520690|2020-05-18|2,hCoV-19/UnitedArabEmirates/L3290224549/2020|EPI_ISL_520690|2020-05-18|2,2020-05-18
hCoV-19/UnitedArabEmirates/L3290260632/2020|EPI_ISL_523952|2020-05-20|1,hCoV-19/UnitedArabEmirates/L3290260632/2020|EPI_ISL_523952|2020-05-20|1,2020-05-20
hCoV-19/Spain/PV-IBV-003218/2020|EPI_ISL_481038|2020-03-14|1,hCoV-19/Spain/PV-IBV-003218/2020|EPI_ISL_481038|2020-03-14|1,2020-03-14
hCoV-19/Guangdong/20SF117/2020|EPI_ISL_428447|2020-01-21|1,hCoV-19/Guangdong/20SF117/2020|EPI_ISL_428447|2020-01-21|1,2020-01-21
hCoV-19/Zhejiang/CN5/2020|EPI_ISL_455685|2020-01-22|1,hCoV-19/Zhejiang/CN5/2020|EPI_ISL_455685|2020-01-22|1,2020-01-22
hCoV-19/Zhejiang/CN1/2020|EPI_ISL_455683|2020-01-22|2,hCoV-19/Zhejiang/CN1/2020|EPI_ISL_455683|2020-01-22|2,2020-01-22
hCoV-19/Zhejiang/CN2/2020|EPI_ISL_455684|2020-01-22|1,hCoV-19/Zhejiang/CN2/2020|EPI_ISL_455684|2020-01-22|1,2020-01-22
hCoV-19/Singapore/16/2020|EPI_ISL_418997|2020-02-06|1,hCoV-19/Singapore/16/2020|EPI_ISL_418997|2020-02-06|1,2020-02-06
hCoV-19/Shanghai/SH0065/2020|EPI_ISL_416368|2020-02-05|1,hCoV-19/Shanghai/SH0065/2020|EPI_ISL_416368|2020-02-05|1,2020-02-05
hCoV-19/India/DL-NCDC-3279/2020|EPI_ISL_436434|2020-04-05|1,hCoV-19/India/DL-NCDC-3279/2020|EPI_ISL_436434|2020-04-05|1,2020-04-05
hCoV-19/Spain/MD-IBV-005280/2020|EPI_ISL_510166|2020-03-09|1,hCoV-19/Spain/MD-IBV-005280/2020|EPI_ISL_510166|2020-03-09|1,2020-03-09
hCoV-19/Singapore/383/2020|EPI_ISL_469132|2020-02-15|1,hCoV-19/Singapore/383/2020|EPI_ISL_469132|2020-02-15|1,2020-02-15
hCoV-19/Guangdong/2020XN4459-P0041/2020|EPI_ISL_413858|2020-01-30|1,hCoV-19/Guangdong/2020XN4459-P0041/2020|EPI_ISL_413858|2020-01-30|1,2020-01-30
hCoV-19/Spain/MD-HLP-R2-15/2020|EPI_ISL_417979|2020-03-03|1,hCoV-19/Spain/MD-HLP-R2-15/2020|EPI_ISL_417979|2020-03-03|1,2020-03-03
hCoV-19/Australia/ACT0008/2020|EPI_ISL_498475|2020-03-24|1,hCoV-19/Australia/ACT0008/2020|EPI_ISL_498475|2020-03-24|1,2020-03-24
hCoV-19/Shanghai/SH0010/2020|EPI_ISL_416323|2020-01-29|1,hCoV-19/Shanghai/SH0010/2020|EPI_ISL_416323|2020-01-29|1,2020-01-29
hCoV-19/Nanchang/JX90/2020|EPI_ISL_421245|2020-01-25|1,hCoV-19/Nanchang/JX90/2020|EPI_ISL_421245|2020-01-25|1,2020-01-25
hCoV-19/Spain/MD-IBV-005279/2020|EPI_ISL_510165|2020-03-09|1,hCoV-19/Spain/MD-IBV-005279/2020|EPI_ISL_510165|2020-03-09|1,2020-03-09
hCoV-19/Belgium/rega-0616914/2020|EPI_ISL_734763|2020-06-16|1,hCoV-19/Belgium/rega-0616914/2020|EPI_ISL_734763|2020-06-16|1,2020-06-16
hCoV-19/Nanchang/JX39/2020|EPI_ISL_421248|2020-01-23|2,hCoV-19/Nanchang/JX39/2020|EPI_ISL_421248|2020-01-23|2,2020-01-23
hCoV-19/Spain/RI-IBV-99005899/2020|EPI_ISL_537438|2020-03-31|1,hCoV-19/Spain/RI-IBV-99005899/2020|EPI_ISL_537438|2020-03-31|1,2020-03-31
hCoV-19/Australia/NSW2222/2020|EPI_ISL_500673|2020-03-20|1,hCoV-19/Australia/NSW2222/2020|EPI_ISL_500673|2020-03-20|1,2020-03-20
hCoV-19/Beijing/BJ287/2020|EPI_ISL_430722|2020-01-29|3,hCoV-19/Beijing/BJ287/2020|EPI_ISL_430722|2020-01-29|3,2020-01-29
hCoV-19/Wuhan/0126-C26/2020|EPI_ISL_493173|2020-01-26|1,hCoV-19/Wuhan/0126-C26/2020|EPI_ISL_493173|2020-01-26|1,2020-01-26
hCoV-19/USA/MO-WUSTL069/2020|EPI_ISL_493086|2020-06-19|1,hCoV-19/USA/MO-WUSTL069/2020|EPI_ISL_493086|2020-06-19|1,2020-06-19
hCoV-19/Shaoxing/03/2020|EPI_ISL_463895|2020-01-30|1,hCoV-19/Shaoxing/03/2020|EPI_ISL_463895|2020-01-30|1,2020-01-30
hCoV-19/Scotland/GCVR-170A0C/2020|EPI_ISL_459665|2020-03-26|1,hCoV-19/Scotland/GCVR-170A0C/2020|EPI_ISL_459665|2020-03-26|1,2020-03-26
hCoV-19/England/SHEF-D0731/2020|EPI_ISL_432614|2020-04-01|1,hCoV-19/England/SHEF-D0731/2020|EPI_ISL_432614|2020-04-01|1,2020-04-01
hCoV-19/Taiwan/CGMH-CGU-02/2020|EPI_ISL_417518|2020-02-04|1,hCoV-19/Taiwan/CGMH-CGU-02/2020|EPI_ISL_417518|2020-02-04|1,2020-02-04
hCoV-19/Singapore/30/2020|EPI_ISL_420107|2020-03-09|1,hCoV-19/Singapore/30/2020|EPI_ISL_420107|2020-03-09|1,2020-03-09
hCoV-19/Taiwan/3/2020|EPI_ISL_411926|2020-01-24|2,hCoV-19/Taiwan/3/2020|EPI_ISL_411926|2020-01-24|2,2020-01-24
hCoV-19/Australia/NSW01/2020|EPI_ISL_407893|2020-01-24|2,hCoV-19/Australia/NSW01/2020|EPI_ISL_407893|2020-01-24|2,2020-01-24
hCoV-19/Yunnan/IVDC-YN-003/2020|EPI_ISL_408480|2020-01-17|1,hCoV-19/Yunnan/IVDC-YN-003/2020|EPI_ISL_408480|2020-01-17|1,2020-01-17
hCoV-19/USA/WY-UNM-00135/2020|EPI_ISL_614255|2020-06-16|2,hCoV-19/USA/WY-UNM-00135/2020|EPI_ISL_614255|2020-06-16|2,2020-06-16
hCoV-19/Belgium/rega-0616915/2020|EPI_ISL_734764|2020-06-16|1,hCoV-19/Belgium/rega-0616915/2020|EPI_ISL_734764|2020-06-16|1,2020-06-16
hCoV-19/Shanghai/SH0024/2020|EPI_ISL_416333|2020-01-30|1,hCoV-19/Shanghai/SH0024/2020|EPI_ISL_416333|2020-01-30|1,2020-01-30
hCoV-19/Wuhan/IME-WH01/2020|EPI_ISL_529213|2019-12-30|1,hCoV-19/Wuhan/IME-WH01/2020|EPI_ISL_529213|2019-12-30|1,2019-12-30
hCoV-19/USA/WI-UW-47/2020|EPI_ISL_421305|2020-03-19|1,hCoV-19/USA/WI-UW-47/2020|EPI_ISL_421305|2020-03-19|1,2020-03-19
hCoV-19/Wuhan/WHUH007/2020|EPI_ISL_449482|2020-01-22|1,hCoV-19/Wuhan/WHUH007/2020|EPI_ISL_449482|2020-01-22|1,2020-01-22
hCoV-19/Wuhan/WH04/2020|EPI_ISL_406801|2020-01-05|45,hCoV-19/Wuhan/WH04/2020|EPI_ISL_406801|2020-01-05|45,2020-01-05
hCoV-19/USA/WA1/2020|EPI_ISL_404895|2020-01-19|5,hCoV-19/USA/WA1/2020|EPI_ISL_404895|2020-01-19|5,2020-01-19
hCoV-19/Zhejiang/CN4/2020|EPI_ISL_455687|2020-01-26|1,hCoV-19/Zhejiang/CN4/2020|EPI_ISL_455687|2020-01-26|1,2020-01-26
hCoV-19/Singapore/906/2020|EPI_ISL_536447|2020-01-25|1,hCoV-19/Singapore/906/2020|EPI_ISL_536447|2020-01-25|1,2020-01-25
hCoV-19/Singapore/20/2020|EPI_ISL_418993|2020-01-29|1,hCoV-19/Singapore/20/2020|EPI_ISL_418993|2020-01-29|1,2020-01-29
hCoV-19/Guangdong/GD2020086-P0021/2020|EPI_ISL_413862|2020-02-01|1,hCoV-19/Guangdong/GD2020086-P0021/2020|EPI_ISL_413862|2020-02-01|1,2020-02-01
hCoV-19/Guangdong/GD2020234-P0023/2020|EPI_ISL_413855|2020-02-07|1,hCoV-19/Guangdong/GD2020234-P0023/2020|EPI_ISL_413855|2020-02-07|1,2020-02-07
hCoV-19/USA/MO-WUSTL061/2020|EPI_ISL_493080|2020-06-19|1,hCoV-19/USA/MO-WUSTL061/2020|EPI_ISL_493080|2020-06-19|1,2020-06-19
hCoV-19/Malaysia/MKAK-CL-2020-6430/2020|EPI_ISL_416886|2020-02-04|1,hCoV-19/Malaysia/MKAK-CL-2020-6430/2020|EPI_ISL_416886|2020-02-04|1,2020-02-04
hCoV-19/Mexico/CMX-INMEGEN-12/2020|EPI_ISL_522942|2020-08-06|1,hCoV-19/Mexico/CMX-INMEGEN-12/2020|EPI_ISL_522942|2020-08-06|1,2020-08-06
hCoV-19/USA/CA-CSMC91/2020|EPI_ISL_475708|2020-03-27|1,hCoV-19/USA/CA-CSMC91/2020|EPI_ISL_475708|2020-03-27|1,2020-03-27
hCoV-19/Fuzhou/JX2012/2020|EPI_ISL_455462|2020-02-05|1,hCoV-19/Fuzhou/JX2012/2020|EPI_ISL_455462|2020-02-05|1,2020-02-05
hCoV-19/Chongqing/YC01/2020|EPI_ISL_408478|2020-01-21|1,hCoV-19/Chongqing/YC01/2020|EPI_ISL_408478|2020-01-21|1,2020-01-21
hCoV-19/Fuzhou/JX2009/2020|EPI_ISL_455464|2020-02-05|1,hCoV-19/Fuzhou/JX2009/2020|EPI_ISL_455464|2020-02-05|1,2020-02-05
hCoV-19/Shanghai/CH-03/2020|EPI_ISL_468726|2020-01-23|1,hCoV-19/Shanghai/CH-03/2020|EPI_ISL_468726|2020-01-23|1,2020-01-23
hCoV-19/Ireland/KE-NVRL-20G27987/2020|EPI_ISL_671375|2020-03-20|1,hCoV-19/Ireland/KE-NVRL-20G27987/2020|EPI_ISL_671375|2020-03-20|1,2020-03-20
hCoV-19/USA/WA-QDX-62/2020|EPI_ISL_467927|2020-03-13|1,hCoV-19/USA/WA-QDX-62/2020|EPI_ISL_467927|2020-03-13|1,2020-03-13
hCoV-19/Guangdong/20SF118/2020|EPI_ISL_428448|2020-01-21|1,hCoV-19/Guangdong/20SF118/2020|EPI_ISL_428448|2020-01-21|1,2020-01-21
hCoV-19/Canada/BC_8159203/2020|EPI_ISL_418848|2020-03-05|9,hCoV-19/Canada/BC_8159203/2020|EPI_ISL_418848|2020-03-05|9,2020-03-05
hCoV-19/USA/IL-NM022/2020|EPI_ISL_444532|2020-03-15|9,hCoV-19/USA/IL-NM022/2020|EPI_ISL_444532|2020-03-15|9,2020-03-15
hCoV-19/USA/CO-QDX-673/2020|EPI_ISL_571427|2020-03-17|1,hCoV-19/USA/CO-QDX-673/2020|EPI_ISL_571427|2020-03-17|1,2020-03-17
hCoV-19/Australia/VIC736/2020|EPI_ISL_427015|2020-03-30|1,hCoV-19/Australia/VIC736/2020|EPI_ISL_427015|2020-03-30|1,2020-03-30
hCoV-19/USA/MA-MGH-00090/2020|EPI_ISL_460411|2020-03-25|2,hCoV-19/USA/MA-MGH-00090/2020|EPI_ISL_460411|2020-03-25|2,2020-03-25
hCoV-19/USA/MA-QDX-1498/2020|EPI_ISL_603834|2020-03-16|1,hCoV-19/USA/MA-QDX-1498/2020|EPI_ISL_603834|2020-03-16|1,2020-03-16
hCoV-19/USA/MA-MGH-00132/2020|EPI_ISL_460470|2020-03-25|1,hCoV-19/USA/MA-MGH-00132/2020|EPI_ISL_460470|2020-03-25|1,2020-03-25
hCoV-19/Australia/NSW2250/2020|EPI_ISL_500689|2020-03-23|1,hCoV-19/Australia/NSW2250/2020|EPI_ISL_500689|2020-03-23|1,2020-03-23
hCoV-19/USA/CA-SR0416/2020|EPI_ISL_467951|2020-03-10|52,hCoV-19/USA/CA-SR0416/2020|EPI_ISL_467951|2020-03-10|52,2020-03-10
hCoV-19/USA/CT-UW-3417/2020|EPI_ISL_490982|2020-03-26|1,hCoV-19/USA/CT-UW-3417/2020|EPI_ISL_490982|2020-03-26|1,2020-03-26
hCoV-19/USA/CO-QDX-2348/2020|EPI_ISL_604687|2020-03-16|1,hCoV-19/USA/CO-QDX-2348/2020|EPI_ISL_604687|2020-03-16|1,2020-03-16
hCoV-19/Australia/NSW2137/2020|EPI_ISL_500626|2020-03-09|8,hCoV-19/Australia/NSW2137/2020|EPI_ISL_500626|2020-03-09|8,2020-03-09
hCoV-19/Canada/BC_3808524/2020|EPI_ISL_418819|2020-03-09|13,hCoV-19/Canada/BC_3808524/2020|EPI_ISL_418819|2020-03-09|13,2020-03-09
hCoV-19/USA/NY-QDX-1514/2020|EPI_ISL_603842|2020-03-17|1,hCoV-19/USA/NY-QDX-1514/2020|EPI_ISL_603842|2020-03-17|1,2020-03-17
hCoV-19/USA/MN-MDH-1202/2020|EPI_ISL_477291|2020-03-15|1,hCoV-19/USA/MN-MDH-1202/2020|EPI_ISL_477291|2020-03-15|1,2020-03-15
hCoV-19/USA/WI-WSLH-200088/2020|EPI_ISL_471252|2020-03-17|1,hCoV-19/USA/WI-WSLH-200088/2020|EPI_ISL_471252|2020-03-17|1,2020-03-17
hCoV-19/USA/WI-UW-15/2020|EPI_ISL_417504|2020-03-16|1,hCoV-19/USA/WI-UW-15/2020|EPI_ISL_417504|2020-03-16|1,2020-03-16
hCoV-19/USA/UT-QDX-2649/2020|EPI_ISL_604979|2020-03-13|1,hCoV-19/USA/UT-QDX-2649/2020|EPI_ISL_604979|2020-03-13|1,2020-03-13
hCoV-19/USA/NY-NYCPHL-000136/2020|EPI_ISL_631627|2020-04-02|1,hCoV-19/USA/NY-NYCPHL-000136/2020|EPI_ISL_631627|2020-04-02|1,2020-04-02
hCoV-19/USA/CA-CZB-1111/2020|EPI_ISL_444069|2020-04-30|1,hCoV-19/USA/CA-CZB-1111/2020|EPI_ISL_444069|2020-04-30|1,2020-04-30
hCoV-19/USA/CA-QDX-2692/2020|EPI_ISL_604999|2020-03-17|2,hCoV-19/USA/CA-QDX-2692/2020|EPI_ISL_604999|2020-03-17|2,2020-03-17
hCoV-19/USA/WY-WYPHL018/2020|EPI_ISL_421552|2020-03-19|1,hCoV-19/USA/WY-WYPHL018/2020|EPI_ISL_421552|2020-03-19|1,2020-03-19
hCoV-19/USA/CA-CZB-1278/2020|EPI_ISL_454636|2020-03-27|1,hCoV-19/USA/CA-CZB-1278/2020|EPI_ISL_454636|2020-03-27|1,2020-03-27
hCoV-19/USA/CA-CZB-1497/2020|EPI_ISL_468446|2020-03-27|1,hCoV-19/USA/CA-CZB-1497/2020|EPI_ISL_468446|2020-03-27|1,2020-03-27
hCoV-19/USA/WY-WYPHL-00031/2020|EPI_ISL_462924|2020-03-23|1,hCoV-19/USA/WY-WYPHL-00031/2020|EPI_ISL_462924|2020-03-23|1,2020-03-23
hCoV-19/USA/WY-WYPHL-00032/2020|EPI_ISL_462925|2020-03-23|1,hCoV-19/USA/WY-WYPHL-00032/2020|EPI_ISL_462925|2020-03-23|1,2020-03-23
hCoV-19/USA/MN-MDH-1819/2020|EPI_ISL_590821|2020-04-15|2,hCoV-19/USA/MN-MDH-1819/2020|EPI_ISL_590821|2020-04-15|2,2020-04-15
hCoV-19/Australia/VIC1993/2020|EPI_ISL_521899|2020-03-26|1,hCoV-19/Australia/VIC1993/2020|EPI_ISL_521899|2020-03-26|1,2020-03-26
hCoV-19/USA/IL-NM09/2020|EPI_ISL_444522|2020-03-17|1,hCoV-19/USA/IL-NM09/2020|EPI_ISL_444522|2020-03-17|1,2020-03-17
hCoV-19/USA/MN-MDH-1310/2020|EPI_ISL_495609|2020-04-18|1,hCoV-19/USA/MN-MDH-1310/2020|EPI_ISL_495609|2020-04-18|1,2020-04-18
hCoV-19/USA/MN-MDH-1472/2020|EPI_ISL_518866|2020-03-27|1,hCoV-19/USA/MN-MDH-1472/2020|EPI_ISL_518866|2020-03-27|1,2020-03-27
hCoV-19/USA/MN-MDH-274/2020|EPI_ISL_450748|2020-03-29|1,hCoV-19/USA/MN-MDH-274/2020|EPI_ISL_450748|2020-03-29|1,2020-03-29
hCoV-19/USA/MN-MDH-1745/2020|EPI_ISL_576254|2020-04-10|1,hCoV-19/USA/MN-MDH-1745/2020|EPI_ISL_576254|2020-04-10|1,2020-04-10
hCoV-19/USA/MN-MDH-1444/2020|EPI_ISL_514663|2020-03-26|1,hCoV-19/USA/MN-MDH-1444/2020|EPI_ISL_514663|2020-03-26|1,2020-03-26
hCoV-19/USA/MN-MDH-1298/2020|EPI_ISL_495597|2020-03-30|1,hCoV-19/USA/MN-MDH-1298/2020|EPI_ISL_495597|2020-03-30|1,2020-03-30
hCoV-19/USA/MN-MDH-1302/2020|EPI_ISL_495601|2020-04-04|1,hCoV-19/USA/MN-MDH-1302/2020|EPI_ISL_495601|2020-04-04|1,2020-04-04
hCoV-19/Canada/ON-S743/2020|EPI_ISL_591211|2020-04-10|1,hCoV-19/Canada/ON-S743/2020|EPI_ISL_591211|2020-04-10|1,2020-04-10
