Full_name_in_ali	GISAID_name	Date	Seq_source	FMBA_ID	Country	Region_from_meta	Pangolin_clade	GISAID_clade	NL_NAME	Lineage
hCoV-19/Russia/AMU-RII-MH10205S/2020|EPI_ISL_733473|2020-11-25|1	Russia/AMU-RII-MH10205S/2020	2020-11-25	NA	NA	Russia	Amur Region	B.1.1.*	NA	Амурская область	NODE_0036076
hCoV-19/Russia/AMU-RII-MH10214S/2020|EPI_ISL_733474|2020-11-20|1	Russia/AMU-RII-MH10214S/2020	2020-11-20	NA	NA	Russia	Amur Region	B.1.1	NA	Амурская область	NODE_0015359
hCoV-19/Russia/AMU-RII-MH10218S/2020|EPI_ISL_733475|2020-11-25|1	Russia/AMU-RII-MH10218S/2020	2020-11-25	NA	NA	Russia	Amur Region	B.1.1	NA	Амурская область	single_seq
hCoV-19/Russia/AMU-RII-MH10219S/2020|EPI_ISL_733476|2020-11-19|1	Russia/AMU-RII-MH10219S/2020	2020-11-19	NA	NA	Russia	Amur Region	B.1.1.*	NA	Амурская область	NODE_0033087
hCoV-19/Russia/AMU-RII-MH10223S/2020|EPI_ISL_733477|2020-11-18|1	Russia/AMU-RII-MH10223S/2020	2020-11-18	NA	NA	Russia	Amur Region	B.1.1	NA	Амурская область	single_seq
hCoV-19/Russia/AMU-RII-MH10232S/2020|EPI_ISL_733478|2020-11-27|1	Russia/AMU-RII-MH10232S/2020	2020-11-27	NA	NA	Russia	Amur Region	B.1.1	NA	Амурская область	NODE_0032635
hCoV-19/Russia/AMU-RII-MH10244S/2020|EPI_ISL_733479|2020-11-27|1	Russia/AMU-RII-MH10244S/2020	2020-11-27	NA	NA	Russia	Amur Region	B.1.1	NA	Амурская область	NODE_0032635
hCoV-19/Russia/AMU-RII-MH10245S/2020|EPI_ISL_733480|2020-11-27|1	Russia/AMU-RII-MH10245S/2020	2020-11-27	NA	NA	Russia	Amur Region	B.1.1	NA	Амурская область	NODE_0032635
hCoV-19/Russia/AMU-RII-MH10246S/2020|EPI_ISL_733481|2020-11-27|1	Russia/AMU-RII-MH10246S/2020	2020-11-27	NA	NA	Russia	Amur Region	B.1.1	NA	Амурская область	NODE_0032635
hCoV-19/Russia/Angarsk-FMBA_18707_S21/2020||2020-06-23|1	Russia/Angarsk-FMBA_18707_S21/2020	2020-06-23	NA	NA	Russia	Irkutsk region	B.1.1	NA	Иркутская область	single_seq
hCoV-19/Russia/Arkhangelsk-FMBA_15819_S55/2020||2020-06-19|1	Russia/Arkhangelsk-FMBA_15819_S55/2020	2020-06-19	NA	NA	Russia	Arkhangelsk region	B.1	NA	Архангельская область	single_seq
hCoV-19/Russia/Arkhangelsk-FMBA_2656_S56/2020||2020-06-11|1	Russia/Arkhangelsk-FMBA_2656_S56/2020	2020-06-11	NA	NA	Russia	Arkhangelsk region	B.1	NA	Архангельская область	single_seq
hCoV-19/Russia/Arkhangelsk-FMBA_EPIC-23255_S71/2020||2020-10-07|1	Russia/Arkhangelsk-FMBA_EPIC-23255_S71/2020	2020-10-07	NA	NA	Russia	Arkhangelsk region	B.1	NA	Архангельская область	single_seq
hCoV-19/Russia/Arkhangelsk-FMBA_EPIC-23336_S78/2020||2020-10-06|1	Russia/Arkhangelsk-FMBA_EPIC-23336_S78/2020	2020-10-06	NA	NA	Russia	Arkhangelsk region	B.1.1.*	NA	Архангельская область	NODE_0037746
hCoV-19/Russia/AST-RII-MH4118S/2020|EPI_ISL_733164|2020-08-04|1	Russia/AST-RII-MH4118S/2020	2020-08-04	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0039293
hCoV-19/Russia/AST-RII-MH4119S/2020|EPI_ISL_733165|2020-08-05|1	Russia/AST-RII-MH4119S/2020	2020-08-05	NA	NA	Russia	Astrakhan Region	B.1.1.294	NA	Астраханская область	NODE_0038861
hCoV-19/Russia/AST-RII-MH4121S/2020|EPI_ISL_733166|2020-08-05|1	Russia/AST-RII-MH4121S/2020	2020-08-05	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0039293
hCoV-19/Russia/AST-RII-MH4130S/2020|EPI_ISL_733167|2020-08-04|1	Russia/AST-RII-MH4130S/2020	2020-08-04	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0033239
hCoV-19/Russia/AST-RII-MH4131S/2020|EPI_ISL_733168|2020-08-04|1	Russia/AST-RII-MH4131S/2020	2020-08-04	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0033239
hCoV-19/Russia/AST-RII-MH4135S/2020|EPI_ISL_733169|2020-08-04|1	Russia/AST-RII-MH4135S/2020	2020-08-04	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0038833
hCoV-19/Russia/AST-RII-MH4136S/2020|EPI_ISL_733170|2020-07-29|1	Russia/AST-RII-MH4136S/2020	2020-07-29	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	single_seq
hCoV-19/Russia/AST-RII-MH4141S/2020|EPI_ISL_733171|2020-07-30|1	Russia/AST-RII-MH4141S/2020	2020-07-30	NA	NA	Russia	Astrakhan Region	B.1.1.*	NA	Астраханская область	NODE_0015345
hCoV-19/Russia/AST-RII-MH4143S/2020|EPI_ISL_733172|2020-08-03|1	Russia/AST-RII-MH4143S/2020	2020-08-03	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0033270
hCoV-19/Russia/AST-RII-MH4149S/2020|EPI_ISL_733173|2020-08-10|1	Russia/AST-RII-MH4149S/2020	2020-08-10	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	single_seq
hCoV-19/Russia/AST-RII-MH4150S/2020|EPI_ISL_733174|2020-08-13|1	Russia/AST-RII-MH4150S/2020	2020-08-13	NA	NA	Russia	Astrakhan Region	B.1.1.*	NA	Астраханская область	single_seq
hCoV-19/Russia/AST-RII-MH4151S/2020|EPI_ISL_733175|2020-08-18|1	Russia/AST-RII-MH4151S/2020	2020-08-18	NA	NA	Russia	Astrakhan Region	B.1.1.294	NA	Астраханская область	single_seq
hCoV-19/Russia/AST-RII-MH4152S/2020|EPI_ISL_733176|2020-08-11|1	Russia/AST-RII-MH4152S/2020	2020-08-11	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	single_seq
hCoV-19/Russia/AST-RII-MH4153S/2020|EPI_ISL_733177|2020-08-18|1	Russia/AST-RII-MH4153S/2020	2020-08-18	NA	NA	Russia	Astrakhan Region	B.1.1.184	NA	Астраханская область	single_seq
hCoV-19/Russia/AST-RII-MH4155S/2020|EPI_ISL_733178|2020-08-18|1	Russia/AST-RII-MH4155S/2020	2020-08-18	NA	NA	Russia	Astrakhan Region	B.1.1.*	NA	Астраханская область	NODE_0015664
hCoV-19/Russia/AST-RII-MH4156S/2020|EPI_ISL_733179|2020-08-18|1	Russia/AST-RII-MH4156S/2020	2020-08-18	NA	NA	Russia	Astrakhan Region	B.1.1.*	NA	Астраханская область	single_seq
hCoV-19/Russia/AST-RII-MH4157S/2020|EPI_ISL_733180|2020-08-18|1	Russia/AST-RII-MH4157S/2020	2020-08-18	NA	NA	Russia	Astrakhan Region	B.1.1.184	NA	Астраханская область	NODE_0017129
hCoV-19/Russia/AST-RII-MH4159S/2020|EPI_ISL_733181|2020-08-05|1	Russia/AST-RII-MH4159S/2020	2020-08-05	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0002285
hCoV-19/Russia/AST-RII-MH4160S/2020|EPI_ISL_733182|2020-08-05|1	Russia/AST-RII-MH4160S/2020	2020-08-05	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0004039
hCoV-19/Russia/AST-RII-MH4436S/2020|EPI_ISL_733185|2020-09-24|1	Russia/AST-RII-MH4436S/2020	2020-09-24	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0007722
hCoV-19/Russia/AST-RII-MH4437S/2020|EPI_ISL_733186|2020-09-17|1	Russia/AST-RII-MH4437S/2020	2020-09-17	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	single_seq
hCoV-19/Russia/AST-RII-MH4438S/2020|EPI_ISL_733187|2020-08-15|1	Russia/AST-RII-MH4438S/2020	2020-08-15	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0005739
hCoV-19/Russia/AST-RII-MH4439S/2020|EPI_ISL_733188|2020-08-15|1	Russia/AST-RII-MH4439S/2020	2020-08-15	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0005739
hCoV-19/Russia/AST-RII-MH4442S/2020|EPI_ISL_733189|2020-08-11|1	Russia/AST-RII-MH4442S/2020	2020-08-11	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	single_seq
hCoV-19/Russia/AST-RII-MH4444S/2020|EPI_ISL_733190|2020-10-01|1	Russia/AST-RII-MH4444S/2020	2020-10-01	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	single_seq
hCoV-19/Russia/AST-RII-MH4447S/2020|EPI_ISL_733191|2020-09-09|1	Russia/AST-RII-MH4447S/2020	2020-09-09	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0020054
hCoV-19/Russia/AST-RII-MH4449S/2020|EPI_ISL_733192|2020-09-28|1	Russia/AST-RII-MH4449S/2020	2020-09-28	NA	NA	Russia	Astrakhan Region	B.1.1.*	NA	Астраханская область	NODE_0029259
hCoV-19/Russia/AST-RII-MH4450S/2020|EPI_ISL_733193|2020-09-04|1	Russia/AST-RII-MH4450S/2020	2020-09-04	NA	NA	Russia	Astrakhan Region	B.1.1.*	NA	Астраханская область	NODE_0032566
hCoV-19/Russia/AST-RII-MH4453S/2020|EPI_ISL_733194|2020-09-14|1	Russia/AST-RII-MH4453S/2020	2020-09-14	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	single_seq
hCoV-19/Russia/AST-RII-MH4454S/2020|EPI_ISL_733195|2020-08-15|1	Russia/AST-RII-MH4454S/2020	2020-08-15	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0005739
hCoV-19/Russia/AST-RII-MH4455S/2020|EPI_ISL_733196|2020-08-11|1	Russia/AST-RII-MH4455S/2020	2020-08-11	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0017129
hCoV-19/Russia/AST-RII-MH4456S/2020|EPI_ISL_733197|2020-08-15|1	Russia/AST-RII-MH4456S/2020	2020-08-15	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0005739
hCoV-19/Russia/AST-RII-MH4457S/2020|EPI_ISL_733198|2020-08-02|1	Russia/AST-RII-MH4457S/2020	2020-08-02	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	single_seq
hCoV-19/Russia/AST-RII-MH4458S/2020|EPI_ISL_733199|2020-08-15|1	Russia/AST-RII-MH4458S/2020	2020-08-15	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0005739
hCoV-19/Russia/AST-RII-MH4459S/2020|EPI_ISL_733200|2020-08-15|1	Russia/AST-RII-MH4459S/2020	2020-08-15	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0005739
hCoV-19/Russia/AST-RII-MH4460S/2020|EPI_ISL_733201|2020-08-15|1	Russia/AST-RII-MH4460S/2020	2020-08-15	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0005739
hCoV-19/Russia/AST-RII-MH4462S/2020|EPI_ISL_733202|2020-08-13|1	Russia/AST-RII-MH4462S/2020	2020-08-13	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0005739
hCoV-19/Russia/AST-RII-MH4465S/2020|EPI_ISL_733203|2020-09-11|1	Russia/AST-RII-MH4465S/2020	2020-09-11	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0000482
hCoV-19/Russia/AST-RII-MH4466S/2020|EPI_ISL_733204|2020-09-10|1	Russia/AST-RII-MH4466S/2020	2020-09-10	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0036984
hCoV-19/Russia/AST-RII-MH4468S/2020|EPI_ISL_733205|2020-09-23|1	Russia/AST-RII-MH4468S/2020	2020-09-23	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0007722
hCoV-19/Russia/AST-RII-MH4470S/2020|EPI_ISL_733206|2020-09-23|1	Russia/AST-RII-MH4470S/2020	2020-09-23	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0031909
hCoV-19/Russia/AST-RII-MH4474S/2020|EPI_ISL_733207|2020-09-23|1	Russia/AST-RII-MH4474S/2020	2020-09-23	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0031909
hCoV-19/Russia/AST-RII-MH4476S/2020|EPI_ISL_733208|2020-09-26|1	Russia/AST-RII-MH4476S/2020	2020-09-26	NA	NA	Russia	Astrakhan Region	B.1.1.*	NA	Астраханская область	NODE_0020054
hCoV-19/Russia/AST-RII-MH4485S/2020|EPI_ISL_733209|2020-08-26|1	Russia/AST-RII-MH4485S/2020	2020-08-26	NA	NA	Russia	Astrakhan Region	B.1.5.*	NA	Астраханская область	single_seq
hCoV-19/Russia/AST-RII-MH4490S/2020|EPI_ISL_733210|2020-08-06|1	Russia/AST-RII-MH4490S/2020	2020-08-06	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0022937
hCoV-19/Russia/AST-RII-MH4494S/2020|EPI_ISL_733211|2020-08-06|1	Russia/AST-RII-MH4494S/2020	2020-08-06	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0022937
hCoV-19/Russia/AST-RII-MH4495S/2020|EPI_ISL_733212|2020-08-31|1	Russia/AST-RII-MH4495S/2020	2020-08-31	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	single_seq
hCoV-19/Russia/AST-RII-MH4496S/2020|EPI_ISL_733213|2020-09-01|1	Russia/AST-RII-MH4496S/2020	2020-09-01	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0020054
hCoV-19/Russia/AST-RII-MH4569S/2020|EPI_ISL_733214|2020-09-16|1	Russia/AST-RII-MH4569S/2020	2020-09-16	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0002285
hCoV-19/Russia/AST-RII-MH4571S/2020|EPI_ISL_733215|2020-08-12|1	Russia/AST-RII-MH4571S/2020	2020-08-12	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0034241
hCoV-19/Russia/AST-RII-MH4585S/2020|EPI_ISL_733216|2020-09-21|1	Russia/AST-RII-MH4585S/2020	2020-09-21	NA	NA	Russia	Astrakhan Region	B.1.5.*	NA	Астраханская область	NODE_0002072
hCoV-19/Russia/AST-RII-MH4591S/2020|EPI_ISL_733217|2020-09-21|1	Russia/AST-RII-MH4591S/2020	2020-09-21	NA	NA	Russia	Astrakhan Region	B.1.5.*	NA	Астраханская область	NODE_0002072
hCoV-19/Russia/AST-RII-MH4592S/2020|EPI_ISL_733218|2020-09-21|1	Russia/AST-RII-MH4592S/2020	2020-09-21	NA	NA	Russia	Astrakhan Region	B.1.5.*	NA	Астраханская область	NODE_0002072
hCoV-19/Russia/AST-RII-MH4593S/2020|EPI_ISL_733219|2020-09-21|1	Russia/AST-RII-MH4593S/2020	2020-09-21	NA	NA	Russia	Astrakhan Region	B.1.5.*	NA	Астраханская область	NODE_0002072
hCoV-19/Russia/AST-RII-MH4597S/2020|EPI_ISL_733220|2020-09-30|1	Russia/AST-RII-MH4597S/2020	2020-09-30	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	NODE_0020054
hCoV-19/Russia/AST-RII-MH4608S/2020|EPI_ISL_733221|2020-08-16|1	Russia/AST-RII-MH4608S/2020	2020-08-16	NA	NA	Russia	Astrakhan Region	B.1.1.184	NA	Астраханская область	NODE_0017129
hCoV-19/Russia/AST-RII-MH4609S/2020|EPI_ISL_733222|2020-08-25|1	Russia/AST-RII-MH4609S/2020	2020-08-25	NA	NA	Russia	Astrakhan Region	B.1.1	NA	Астраханская область	single_seq
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22555_S2/2020||2020-10-05|1	Russia/Astrakhan-FMBA_EPIC-22555_S2/2020	2020-10-05	NA	NA	Russia	Astrakhan region	B.1	NA	Астраханская область	single_seq
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22557_S58/2020||2020-10-01|1	Russia/Astrakhan-FMBA_EPIC-22557_S58/2020	2020-10-01	NA	NA	Russia	Astrakhan region	B.1.1	NA	Астраханская область	single_seq
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22578_S3/2020||2020-10-06|1	Russia/Astrakhan-FMBA_EPIC-22578_S3/2020	2020-10-06	NA	NA	Russia	Astrakhan region	B.1.1.*	NA	Астраханская область	NODE_0033128
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22583_S15/2020||2020-09-28|1	Russia/Astrakhan-FMBA_EPIC-22583_S15/2020	2020-09-28	NA	NA	Russia	Astrakhan region	B.1.1.*	NA	Астраханская область	NODE_0015696
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22595_S56/2020||2020-09-28|1	Russia/Astrakhan-FMBA_EPIC-22595_S56/2020	2020-09-28	NA	NA	Russia	Astrakhan region	B.1	NA	Астраханская область	NODE_0013453
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22598_S49/2020||2020-09-28|1	Russia/Astrakhan-FMBA_EPIC-22598_S49/2020	2020-09-28	NA	NA	Russia	Astrakhan region	B.1.1.*	NA	Астраханская область	NODE_0015696
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22602_S53/2020||2020-09-30|1	Russia/Astrakhan-FMBA_EPIC-22602_S53/2020	2020-09-30	NA	NA	Russia	Astrakhan region	B.1.1.*	NA	Астраханская область	NODE_0015696
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22607_S20/2020||2020-10-01|1	Russia/Astrakhan-FMBA_EPIC-22607_S20/2020	2020-10-01	NA	NA	Russia	Astrakhan region	B.1.1	NA	Астраханская область	NODE_0033128
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22610_S13/2020||2020-10-01|1	Russia/Astrakhan-FMBA_EPIC-22610_S13/2020	2020-10-01	NA	NA	Russia	Astrakhan region	B.1.1	NA	Астраханская область	NODE_0033128
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22628_S14/2020||2020-10-05|1	Russia/Astrakhan-FMBA_EPIC-22628_S14/2020	2020-10-05	NA	NA	Russia	Astrakhan region	B.1.1	NA	Астраханская область	NODE_0032566
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22629_S23/2020||2020-10-05|1	Russia/Astrakhan-FMBA_EPIC-22629_S23/2020	2020-10-05	NA	NA	Russia	Astrakhan region	B.1.1.184	NA	Астраханская область	single_seq
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22640_S12/2020||2020-09-25|1	Russia/Astrakhan-FMBA_EPIC-22640_S12/2020	2020-09-25	NA	NA	Russia	Astrakhan region	B.1.1	NA	Астраханская область	single_seq
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22643_S50/2020||2020-09-30|1	Russia/Astrakhan-FMBA_EPIC-22643_S50/2020	2020-09-30	NA	NA	Russia	Astrakhan region	B.1.1	NA	Астраханская область	NODE_0020054
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22645_S54/2020||2020-09-29|1	Russia/Astrakhan-FMBA_EPIC-22645_S54/2020	2020-09-29	NA	NA	Russia	Astrakhan region	B.1.1.*	NA	Астраханская область	single_seq
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22671_S63/2020||2020-10-05|1	Russia/Astrakhan-FMBA_EPIC-22671_S63/2020	2020-10-05	NA	NA	Russia	Astrakhan region	B.1.1	NA	Астраханская область	single_seq
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22672_S61/2020||2020-10-05|1	Russia/Astrakhan-FMBA_EPIC-22672_S61/2020	2020-10-05	NA	NA	Russia	Astrakhan region	B.1.1	NA	Астраханская область	NODE_0020054
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22674_S5/2020||2020-10-05|1	Russia/Astrakhan-FMBA_EPIC-22674_S5/2020	2020-10-05	NA	NA	Russia	Astrakhan region	B.1.1.*	NA	Астраханская область	NODE_0015696
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22681_S64/2020||2020-10-05|1	Russia/Astrakhan-FMBA_EPIC-22681_S64/2020	2020-10-05	NA	NA	Russia	Astrakhan region	B.1.1.*	NA	Астраханская область	NODE_0015666
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22687_S62/2020||2020-09-30|1	Russia/Astrakhan-FMBA_EPIC-22687_S62/2020	2020-09-30	NA	NA	Russia	Astrakhan region	B.1.1.*	NA	Астраханская область	NODE_0015696
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22691_S57/2020||2020-10-05|1	Russia/Astrakhan-FMBA_EPIC-22691_S57/2020	2020-10-05	NA	NA	Russia	Astrakhan region	B.1.1	NA	Астраханская область	NODE_0031909
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22694_S18/2020||2020-10-02|1	Russia/Astrakhan-FMBA_EPIC-22694_S18/2020	2020-10-02	NA	NA	Russia	Astrakhan region	B.1.1	NA	Астраханская область	NODE_0033128
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22699_S7/2020||2020-09-28|1	Russia/Astrakhan-FMBA_EPIC-22699_S7/2020	2020-09-28	NA	NA	Russia	Astrakhan region	B.1.1	NA	Астраханская область	NODE_0020054
hCoV-19/Russia/Astrakhan-FMBA_EPIC-22706_S19/2020||2020-10-02|1	Russia/Astrakhan-FMBA_EPIC-22706_S19/2020	2020-10-02	NA	NA	Russia	Astrakhan region	B.1.1	NA	Астраханская область	NODE_0033128
hCoV-19/Russia/BA-RII-12-5800V/2020|EPI_ISL_507297|2020|1	Russia/BA-RII-12-5800V/2020	2020	NA	NA	Russia	Bashkortostan	B.1.*	NA	Республика Башкортостан	NODE_0018914
hCoV-19/Russia/BA-RII-21-5809V/2020|EPI_ISL_507298|2020|1	Russia/BA-RII-21-5809V/2020	2020	NA	NA	Russia	Bashkortostan	B.1.*	NA	Республика Башкортостан	NODE_0018914
hCoV-19/Russia/BA-RII-5-5798V/2020|EPI_ISL_507299|2020|1	Russia/BA-RII-5-5798V/2020	2020	NA	NA	Russia	Bashkortostan	B.1.*	NA	Республика Башкортостан	NODE_0018914
hCoV-19/Russia/BA-RII-MH9355S/2020|EPI_ISL_733450|2020-10-13|1	Russia/BA-RII-MH9355S/2020	2020-10-13	NA	NA	Russia	Republic of Bashkortostan	B.1.1	NA	Республика Башкортостан	single_seq
